Cód_Municipio;Nome_Municipio; ISDEL 
3533601;Nuporanga; 0,3538 
3533700;Ocauçu; 0,3529 
3533908;Olímpia; 0,4424 
3534005;Onda Verde; 0,3382 
3534104;Oriente; 0,3608 
3534203;Orindiúva; 0,3471 
3534302;Orlândia; 0,4007 
3534401;Osasco; 0,4204 
3534500;Oscar Bressane; 0,3314 
3534609;Osvaldo Cruz; 0,3956 
3534708;Ourinhos; 0,4209 
3534807;Ouro Verde; 0,3142 
3534757;Ouroeste; 0,3551 
3534906;Pacaembu; 0,3443 
3535002;Palestina; 0,3331 
3535101;Palmares Paulista; 0,3555 
3535200;Palmeira d'Oeste; 0,3467 
3535309;Palmital; 0,4128 
3535408;Panorama; 0,3342 
3535507;Paraguaçu Paulista; 0,4089 
3535606;Paraibuna; 0,3403 
3535804;Paranapanema; 0,3716 
3535903;Paranapuã; 0,3397 
3536000;Parapuã; 0,3580 
3535705;Paraíso; 0,3958 
3536109;Pardinho; 0,3077 
3536208;Pariquera-Açu; 0,3901 
3536257;Parisi; 0,3711 
3536307;Patrocínio Paulista; 0,3783 
3536406;Paulicéia; 0,2806 
3536570;Paulistânia; 0,3376 
3536604;Paulo de Faria; 0,3607 
3536505;Paulínia; 0,4637 
3536703;Pederneiras; 0,3876 
3536802;Pedra Bela; 0,3285 
3536901;Pedranópolis; 0,3675 
3537008;Pedregulho; 0,3509 
3537107;Pedreira; 0,3958 
3537156;Pedrinhas Paulista; 0,4023 
3537206;Pedro de Toledo; 0,3028 
3537305;Penápolis; 0,3939 
3537404;Pereira Barreto; 0,3688 
3537503;Pereiras; 0,3095 
3537602;Peruíbe; 0,3792 
3537701;Piacatu; 0,3486 
3537800;Piedade; 0,3692 
3537909;Pilar do Sul; 0,3499 
3538006;Pindamonhangaba; 0,4662 
3538105;Pindorama; 0,3899 
3538204;Pinhalzinho; 0,3507 
3538303;Piquerobi; 0,3205 
3538501;Piquete; 0,3818 
3538600;Piracaia; 0,3964 
3538709;Piracicaba; 0,4994 
3538808;Piraju; 0,4367 
3538907;Pirajuí; 0,3399 
3539004;Pirangi; 0,3907 
3539103;Pirapora do Bom Jesus; 0,3626 
3539202;Pirapozinho; 0,3941 
3539301;Pirassununga; 0,4092 
3539400;Piratininga; 0,3744 
3539509;Pitangueiras; 0,3745 
3539608;Planalto; 0,3173 
3539707;Platina; 0,3602 
3539905;Poloni; 0,3572 
3540002;Pompéia; 0,3903 
3540101;Pongaí; 0,3324 
3540200;Pontal; 0,3544 
3540259;Pontalinda; 0,3250 
3540309;Pontes Gestal; 0,3464 
3540408;Populina; 0,3449 
3540507;Porangaba; 0,3276 
3540606;Porto Feliz; 0,4127 
3540705;Porto Ferreira; 0,4048 
3540754;Potim; 0,3060 
3540804;Potirendaba; 0,3719 
3539806;Poá; 0,4151 
3540853;Pracinha; 0,3103 
3540903;Pradópolis; 0,3262 
3541000;Praia Grande; 0,3924 
3541059;Pratânia; 0,3523 
3541109;Presidente Alves; 0,3335 
3541208;Presidente Bernardes; 0,3551 
3541307;Presidente Epitácio; 0,3859 
3541406;Presidente Prudente; 0,4436 
3541505;Presidente Venceslau; 0,3942 
3541604;Promissão; 0,3891 
3541653;Quadra; 0,3303 
3541703;Quatá; 0,4028 
3541802;Queiroz; 0,3374 
3541901;Queluz; 0,2981 
3542008;Quintana; 0,3828 
3542107;Rafard; 0,3894 
3542206;Rancharia; 0,3856 
3542305;Redenção da Serra; 0,3042 
3542404;Regente Feijó; 0,3733 
3542503;Reginópolis; 0,3345 
3542602;Registro; 0,4047 
3542701;Restinga; 0,3234 
3542800;Ribeira; 0,3098 
3542909;Ribeirão Bonito; 0,3533 
3543006;Ribeirão Branco; 0,2638 
3543105;Ribeirão Corrente; 0,3474 
3543253;Ribeirão Grande; 0,3582 
3543303;Ribeirão Pires; 0,4423 
3543402;Ribeirão Preto; 0,4916 
3543204;Ribeirão do Sul; 0,3461 
3543238;Ribeirão dos Índios; 0,3312 
3543600;Rifaina; 0,3957 
3543709;Rincão; 0,3478 
3543808;Rinópolis; 0,3560 
3543907;Rio Claro; 0,4893 
3544103;Rio Grande da Serra; 0,3606 
3544004;Rio das Pedras; 0,3779 
3544202;Riolândia; 0,3427 
3543501;Riversul; 0,3083 
3544251;Rosana; 0,3887 
3544301;Roseira; 0,3153 
3544509;Rubinéia; 0,3539 
3544400;Rubiácea; 0,3395 
3544608;Sabino; 0,3144 
3544707;Sagres; 0,3125 
3544806;Sales; 0,3724 
3544905;Sales Oliveira; 0,3595 
3545001;Salesópolis; 0,3461 
3545100;Salmourão; 0,3061 
3545159;Saltinho; 0,4067 
3545209;Salto; 0,4486 
3545407;Salto Grande; 0,3212 
3545308;Salto de Pirapora; 0,3591 
3545506;Sandovalina; 0,2870 
3545605;Santa Adélia; 0,3445 
3545704;Santa Albertina; 0,3209 
3546009;Santa Branca; 0,3338 
3545803;Santa Bárbara d'Oeste; 0,4266 
3546108;Santa Clara d'Oeste; 0,3451 
3546207;Santa Cruz da Conceição; 0,3922 
3546256;Santa Cruz da Esperança; 0,3601 
3546306;Santa Cruz das Palmeiras; 0,3593 
3546405;Santa Cruz do Rio Pardo; 0,4230 
3546504;Santa Ernestina; 0,3733 
3546603;Santa Fé do Sul; 0,4290 
3546702;Santa Gertrudes; 0,3907 
3546801;Santa Isabel; 0,3932 
3546900;Santa Lúcia; 0,3282 
3547007;Santa Maria da Serra; 0,3764 
3547106;Santa Mercedes; 0,3233 
3547403;Santa Rita d'Oeste; 0,3589 
3547502;Santa Rita do Passa Quatro; 0,3979 
3547601;Santa Rosa de Viterbo; 0,3651 
3547650;Santa Salete; 0,3332 
3547205;Santana da Ponte Pensa; 0,3807 
3547304;Santana de Parnaíba; 0,5007 
3547700;Santo Anastácio; 0,3769 
3547809;Santo André; 0,5205 
3547908;Santo Antônio da Alegria; 0,4096 
3548005;Santo Antônio de Posse; 0,3851 
3548054;Santo Antônio do Aracanguá; 0,3582 
3548104;Santo Antônio do Jardim; 0,3168 
3548203;Santo Antônio do Pinhal; 0,3789 
3548302;Santo Expedito; 0,3835 
3548500;Santos; 0,5443 
3548401;Santópolis do Aguapeí; 0,3548 
3551108;Sarapuí; 0,3427 
3551207;Sarutaiá; 0,3619 
3551306;Sebastianópolis do Sul; 0,3661 
3551405;Serra Azul; 0,3089 
3551603;Serra Negra; 0,4266 
3551504;Serrana; 0,3744 
3551702;Sertãozinho; 0,4375 
3551801;Sete Barras; 0,3178 
3551900;Severínia; 0,3662 
3552007;Silveiras; 0,2895 
3552106;Socorro; 0,3990 
3552205;Sorocaba; 0,5291 
3552304;Sud Mennucci; 0,3642 
3552403;Sumaré; 0,4321 
3552502;Suzano; 0,4933 
3552551;Suzanápolis; 0,3096 
3548609;São Bento do Sapucaí; 0,3354 
3548708;São Bernardo do Campo; 0,5743 
3548807;São Caetano do Sul; 0,5584 
3548906;São Carlos; 0,4706 
3549003;São Francisco; 0,3603 
3549409;São Joaquim da Barra; 0,3983 
3549508;São José da Bela Vista; 0,2950 
3549607;São José do Barreiro; 0,2873 
3549706;São José do Rio Pardo; 0,4036 
3549805;São José do Rio Preto; 0,4747 
3549904;São José dos Campos; 0,5206 
3549102;São João da Boa Vista; 0,4139 
3549201;São João das Duas Pontes; 0,3434 
3549250;São João de Iracema; 0,3838 
3549300;São João do Pau d'Alho; 0,3242 
3549953;São Lourenço da Serra; 0,2989 
3550001;São Luís do Paraitinga; 0,3707 
3550100;São Manuel; 0,3827 
3550209;São Miguel Arcanjo; 0,3670 
3550308;São Paulo; 0,7957 
3550407;São Pedro; 0,4001 
3550506;São Pedro do Turvo; 0,3766 
3550605;São Roque; 0,3633 
3550704;São Sebastião; 0,4081 
3550803;São Sebastião da Grama; 0,3670 
3550902;São Simão; 0,3923 
3551009;São Vicente; 0,4130 
3552601;Tabapuã; 0,3740 
3552700;Tabatinga; 0,3567 
3552809;Taboão da Serra; 0,4384 
3552908;Taciba; 0,3513 
3553005;Taguaí; 0,3365 
3553104;Taiaçu; 0,3476 
3553203;Taiúva; 0,3601 
3553302;Tambaú; 0,3825 
3553401;Tanabi; 0,3993 
3553609;Tapiratiba; 0,3461 
3553500;Tapiraí; 0,3671 
3553658;Taquaral; 0,3689 
3553708;Taquaritinga; 0,4041 
3553807;Taquarituba; 0,3869 
3553856;Taquarivaí; 0,3525 
3553906;Tarabai; 0,3359 
3553955;Tarumã; 0,3970 
3554003;Tatuí; 0,3905 
3554102;Taubaté; 0,4478 
3554201;Tejupá; 0,3526 
3554300;Teodoro Sampaio; 0,3683 
3554409;Terra Roxa; 0,3569 
3554508;Tietê; 0,4142 
3554607;Timburi; 0,3318 
3554656;Torre de Pedra; 0,3443 
3554706;Torrinha; 0,3952 
3554755;Trabiju; 0,3328 
3554805;Tremembé; 0,3884 
3554904;Três Fronteiras; 0,3471 
3554953;Tuiuti; 0,3525 
3555109;Tupi Paulista; 0,3793 
3555000;Tupã; 0,4110 
3555208;Turiúba; 0,3792 
3555307;Turmalina; 0,3735 
3555356;Ubarana; 0,3228 
3555406;Ubatuba; 0,3920 
3555505;Ubirajara; 0,3323 
3555604;Uchoa; 0,3604 
3555703;União Paulista; 0,3470 
3555901;Uru; 0,3447 
3556008;Urupês; 0,3739 
3555802;Urânia; 0,3804 
3556107;Valentim Gentil; 0,3567 
3556206;Valinhos; 0,4637 
3556305;Valparaíso; 0,3438 
3556354;Vargem; 0,3321 
3556453;Vargem Grande Paulista; 0,3928 
3556404;Vargem Grande do Sul; 0,3781 
3556602;Vera Cruz; 0,3665 
3556701;Vinhedo; 0,4917 
3556800;Viradouro; 0,3947 
3556909;Vista Alegre do Alto; 0,3827 
3556958;Vitória Brasil; 0,3148 
3557006;Votorantim; 0,4369 
3557105;Votuporanga; 0,4599 
3556503;Várzea Paulista; 0,4238 
3557154;Zacarias; 0,3693 
3500402;Águas da Prata; 0,3890 
3500501;Águas de Lindóia; 0,3825 
3500550;Águas de Santa Bárbara; 0,4115 
3500600;Águas de São Pedro; 0,4716 
3501202;Álvares Florence; 0,3498 
3501301;Álvares Machado; 0,3603 
3501400;Álvaro de Carvalho; 0,3136 
3533809;Óleo; 0,3523 
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
